@relation san_diego_cost_ts_hourly_unix_gmt_local-weka.filters.unsupervised.attribute.NumericToNominal-R14-weka.filters.unsupervised.attribute.Remove-R1-6

@attribute usage_hr_before numeric
@attribute usage_2hr_before numeric
@attribute usage_day_before numeric
@attribute month {Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec}
@attribute day {Sat,Sun,Mon,Tue,Wed,Thu,Fri}
@attribute hour numeric
@attribute usage numeric
@attribute usage_binary {0,1}

@data
0.789,0.9,0.591,Jan,Sat,0,0.703,0
0.703,0.789,0.553,Jan,Sat,1,0.607,0
0.607,0.703,0.549,Jan,Sat,2,0.543,0
0.543,0.607,0.531,Jan,Sat,3,0.546,0
0.546,0.543,0.588,Jan,Sat,4,0.521,0
0.521,0.546,0.684,Jan,Sat,5,0.567,0
0.567,0.521,0.719,Jan,Sat,6,0.666,0
0.666,0.567,0.759,Jan,Sat,7,0.716,0
0.716,0.666,0.782,Jan,Sat,8,0.747,0
0.747,0.716,0.821,Jan,Sat,9,0.79,1
0.79,0.747,0.811,Jan,Sat,10,0.855,1
0.855,0.79,0.834,Jan,Sat,11,0.866,1
0.866,0.855,0.802,Jan,Sat,12,0.881,1
0.881,0.866,0.758,Jan,Sat,13,0.852,1
0.852,0.881,0.765,Jan,Sat,14,0.798,1
0.798,0.852,0.876,Jan,Sat,15,0.821,1
0.821,0.798,1.167,Jan,Sat,16,0.927,1
0.927,0.821,1.223,Jan,Sat,17,1.212,1
1.212,0.927,1.185,Jan,Sat,18,1.24,1
1.24,1.212,1.113,Jan,Sat,19,1.164,1
1.164,1.24,1.018,Jan,Sat,20,1.13,1
1.13,1.164,0.9,Jan,Sat,21,1.033,1
1.033,1.13,0.789,Jan,Sat,22,0.872,1
0.872,1.033,0.703,Jan,Sat,23,0.722,0
0.722,0.872,0.607,Jan,Sun,0,0.654,0
0.654,0.722,0.543,Jan,Sun,1,0.581,0
0.581,0.654,0.546,Jan,Sun,2,0.548,0
0.548,0.581,0.521,Jan,Sun,3,0.555,0
0.555,0.548,0.567,Jan,Sun,4,0.531,0
0.531,0.555,0.666,Jan,Sun,5,0.57,0
0.57,0.531,0.716,Jan,Sun,6,0.696,0
0.696,0.57,0.747,Jan,Sun,7,0.785,1
0.785,0.696,0.79,Jan,Sun,8,0.81,1
0.81,0.785,0.855,Jan,Sun,9,0.824,1
0.824,0.81,0.866,Jan,Sun,10,0.862,1
0.862,0.824,0.881,Jan,Sun,11,0.861,1
0.861,0.862,0.852,Jan,Sun,12,0.888,1
0.888,0.861,0.798,Jan,Sun,13,0.835,1
0.835,0.888,0.821,Jan,Sun,14,0.845,1
0.845,0.835,0.927,Jan,Sun,15,0.876,1
0.876,0.845,1.212,Jan,Sun,16,0.954,1
0.954,0.876,1.24,Jan,Sun,17,1.234,1
1.234,0.954,1.164,Jan,Sun,18,1.269,1
1.269,1.234,1.13,Jan,Sun,19,1.187,1
1.187,1.269,1.033,Jan,Sun,20,1.168,1
1.168,1.187,0.872,Jan,Sun,21,1.056,1
1.056,1.168,0.722,Jan,Sun,22,0.913,1
0.913,1.056,0.654,Jan,Sun,23,0.792,1
0.792,0.913,0.581,Jan,Mon,0,0.677,0
0.677,0.792,0.548,Jan,Mon,1,0.599,0
0.599,0.677,0.555,Jan,Mon,2,0.561,0
0.561,0.599,0.531,Jan,Mon,3,0.572,0
0.572,0.561,0.57,Jan,Mon,4,0.542,0
0.542,0.572,0.696,Jan,Mon,5,0.57,0
0.57,0.542,0.785,Jan,Mon,6,0.719,0
0.719,0.57,0.81,Jan,Mon,7,0.801,1
0.801,0.719,0.824,Jan,Mon,8,0.827,1
0.827,0.801,0.862,Jan,Mon,9,0.8,1
0.8,0.827,0.861,Jan,Mon,10,0.785,1
0.785,0.8,0.888,Jan,Mon,11,0.801,1
0.801,0.785,0.835,Jan,Mon,12,0.851,1
0.851,0.801,0.845,Jan,Mon,13,0.815,1
0.815,0.851,0.876,Jan,Mon,14,0.798,1
0.798,0.815,0.954,Jan,Mon,15,0.851,1
0.851,0.798,1.234,Jan,Mon,16,0.929,1
0.929,0.851,1.269,Jan,Mon,17,1.221,1
1.221,0.929,1.187,Jan,Mon,18,1.29,1
1.29,1.221,1.168,Jan,Mon,19,1.245,1
1.245,1.29,1.056,Jan,Mon,20,1.191,1
1.191,1.245,0.913,Jan,Mon,21,1.036,1
1.036,1.191,0.792,Jan,Mon,22,0.897,1
0.897,1.036,0.677,Jan,Mon,23,0.737,0
0.737,0.897,0.599,Jan,Tue,0,0.626,0
0.626,0.737,0.561,Jan,Tue,1,0.569,0
0.569,0.626,0.572,Jan,Tue,2,0.537,0
0.537,0.569,0.542,Jan,Tue,3,0.542,0
0.542,0.537,0.57,Jan,Tue,4,0.533,0
0.533,0.542,0.719,Jan,Tue,5,0.61,0
0.61,0.533,0.801,Jan,Tue,6,0.76,1
0.76,0.61,0.827,Jan,Tue,7,0.792,1
0.792,0.76,0.8,Jan,Tue,8,0.796,1
0.796,0.792,0.785,Jan,Tue,9,0.81,1
0.81,0.796,0.801,Jan,Tue,10,0.784,1
0.784,0.81,0.851,Jan,Tue,11,0.827,1
0.827,0.784,0.815,Jan,Tue,12,0.82,1
0.82,0.827,0.798,Jan,Tue,13,0.749,0
0.749,0.82,0.851,Jan,Tue,14,0.725,0
0.725,0.749,0.929,Jan,Tue,15,0.741,0
0.741,0.725,1.221,Jan,Tue,16,0.862,1
0.862,0.741,1.29,Jan,Tue,17,1.17,1
1.17,0.862,1.245,Jan,Tue,18,1.267,1
1.267,1.17,1.191,Jan,Tue,19,1.208,1
1.208,1.267,1.036,Jan,Tue,20,1.17,1
1.17,1.208,0.897,Jan,Tue,21,1.056,1
1.056,1.17,0.737,Jan,Tue,22,0.864,1
0.864,1.056,0.626,Jan,Tue,23,0.713,0
0.713,0.864,0.569,Jan,Wed,0,0.617,0
0.617,0.713,0.537,Jan,Wed,1,0.545,0
0.545,0.617,0.542,Jan,Wed,2,0.519,0
0.519,0.545,0.533,Jan,Wed,3,0.542,0
0.542,0.519,0.61,Jan,Wed,4,0.535,0
0.535,0.542,0.76,Jan,Wed,5,0.599,0
0.599,0.535,0.792,Jan,Wed,6,0.801,1
0.801,0.599,0.796,Jan,Wed,7,0.834,1
0.834,0.801,0.81,Jan,Wed,8,0.785,1
0.785,0.834,0.784,Jan,Wed,9,0.783,1
0.783,0.785,0.827,Jan,Wed,10,0.777,1
0.777,0.783,0.82,Jan,Wed,11,0.755,1
0.755,0.777,0.749,Jan,Wed,12,0.787,1
0.787,0.755,0.725,Jan,Wed,13,0.699,0
0.699,0.787,0.741,Jan,Wed,14,0.679,0
0.679,0.699,0.862,Jan,Wed,15,0.714,0
0.714,0.679,1.17,Jan,Wed,16,0.81,1
0.81,0.714,1.267,Jan,Wed,17,1.12,1
1.12,0.81,1.208,Jan,Wed,18,1.21,1
1.21,1.12,1.17,Jan,Wed,19,1.162,1
1.162,1.21,1.056,Jan,Wed,20,1.121,1
1.121,1.162,0.864,Jan,Wed,21,0.989,1
0.989,1.121,0.713,Jan,Wed,22,0.846,1
0.846,0.989,0.617,Jan,Wed,23,0.696,0
0.696,0.846,0.545,Jan,Thu,0,0.599,0
0.599,0.696,0.519,Jan,Thu,1,0.557,0
0.557,0.599,0.542,Jan,Thu,2,0.536,0
0.536,0.557,0.535,Jan,Thu,3,0.543,0
0.543,0.536,0.599,Jan,Thu,4,0.533,0
0.533,0.543,0.801,Jan,Thu,5,0.629,0
0.629,0.533,0.834,Jan,Thu,6,0.782,1
0.782,0.629,0.785,Jan,Thu,7,0.796,1
0.796,0.782,0.783,Jan,Thu,8,0.773,1
0.773,0.796,0.777,Jan,Thu,9,0.757,1
0.757,0.773,0.755,Jan,Thu,10,0.734,0
0.734,0.757,0.787,Jan,Thu,11,0.751,1
0.751,0.734,0.699,Jan,Thu,12,0.773,1
0.773,0.751,0.679,Jan,Thu,13,0.739,0
0.739,0.773,0.714,Jan,Thu,14,0.714,0
0.714,0.739,0.81,Jan,Thu,15,0.734,0
0.734,0.714,1.12,Jan,Thu,16,0.823,1
0.823,0.734,1.21,Jan,Thu,17,1.094,1
1.094,0.823,1.162,Jan,Thu,18,1.182,1
1.182,1.094,1.121,Jan,Thu,19,1.169,1
1.169,1.182,0.989,Jan,Thu,20,1.12,1
1.12,1.169,0.846,Jan,Thu,21,1.011,1
1.011,1.12,0.696,Jan,Thu,22,0.849,1
0.849,1.011,0.599,Jan,Thu,23,0.72,0
0.72,0.849,0.557,Jan,Fri,0,0.607,0
0.607,0.72,0.536,Jan,Fri,1,0.534,0
0.534,0.607,0.543,Jan,Fri,2,0.517,0
0.517,0.534,0.533,Jan,Fri,3,0.525,0
0.525,0.517,0.629,Jan,Fri,4,0.516,0
0.516,0.525,0.782,Jan,Fri,5,0.599,0
0.599,0.516,0.796,Jan,Fri,6,0.77,1
0.77,0.599,0.773,Jan,Fri,7,0.836,1
0.836,0.77,0.757,Jan,Fri,8,0.797,1
0.797,0.836,0.734,Jan,Fri,9,0.807,1
0.807,0.797,0.751,Jan,Fri,10,0.793,1
0.793,0.807,0.773,Jan,Fri,11,0.841,1
0.841,0.793,0.739,Jan,Fri,12,0.802,1
0.802,0.841,0.714,Jan,Fri,13,0.727,0
0.727,0.802,0.734,Jan,Fri,14,0.695,0
0.695,0.727,0.823,Jan,Fri,15,0.723,0
0.723,0.695,1.094,Jan,Fri,16,0.843,1
0.843,0.723,1.182,Jan,Fri,17,1.128,1
1.128,0.843,1.169,Jan,Fri,18,1.211,1
1.211,1.128,1.12,Jan,Fri,19,1.155,1
1.155,1.211,1.011,Jan,Fri,20,1.088,1
1.088,1.155,0.849,Jan,Fri,21,0.993,1
0.993,1.088,0.72,Jan,Fri,22,0.845,1
0.845,0.993,0.607,Jan,Fri,23,0.705,0
0.705,0.845,0.534,Jan,Sat,0,0.603,0
0.603,0.705,0.517,Jan,Sat,1,0.549,0
0.549,0.603,0.525,Jan,Sat,2,0.53,0
0.53,0.549,0.516,Jan,Sat,3,0.538,0
0.538,0.53,0.599,Jan,Sat,4,0.532,0
0.532,0.538,0.77,Jan,Sat,5,0.604,0
0.604,0.532,0.836,Jan,Sat,6,0.753,1
0.753,0.604,0.797,Jan,Sat,7,0.801,1
0.801,0.753,0.807,Jan,Sat,8,0.767,1
0.767,0.801,0.793,Jan,Sat,9,0.799,1
0.799,0.767,0.841,Jan,Sat,10,0.788,1
0.788,0.799,0.802,Jan,Sat,11,0.785,1
0.785,0.788,0.727,Jan,Sat,12,0.789,1
0.789,0.785,0.695,Jan,Sat,13,0.77,1
0.77,0.789,0.723,Jan,Sat,14,0.724,0
0.724,0.77,0.843,Jan,Sat,15,0.737,0
0.737,0.724,1.128,Jan,Sat,16,0.87,1
0.87,0.737,1.211,Jan,Sat,17,1.162,1
1.162,0.87,1.155,Jan,Sat,18,1.234,1
1.234,1.162,1.088,Jan,Sat,19,1.17,1
1.17,1.234,0.993,Jan,Sat,20,1.103,1
1.103,1.17,0.845,Jan,Sat,21,0.998,1
0.998,1.103,0.705,Jan,Sat,22,0.832,1
0.832,0.998,0.603,Jan,Sat,23,0.733,0
0.733,0.832,0.549,Jan,Sun,0,0.62,0
0.62,0.733,0.53,Jan,Sun,1,0.555,0
0.555,0.62,0.538,Jan,Sun,2,0.534,0
0.534,0.555,0.532,Jan,Sun,3,0.538,0
0.538,0.534,0.604,Jan,Sun,4,0.524,0
0.524,0.538,0.753,Jan,Sun,5,0.574,0
0.574,0.524,0.801,Jan,Sun,6,0.718,0
0.718,0.574,0.767,Jan,Sun,7,0.808,1
0.808,0.718,0.799,Jan,Sun,8,0.826,1
0.826,0.808,0.788,Jan,Sun,9,0.814,1
0.814,0.826,0.785,Jan,Sun,10,0.821,1
0.821,0.814,0.789,Jan,Sun,11,0.858,1
0.858,0.821,0.77,Jan,Sun,12,0.864,1
0.864,0.858,0.724,Jan,Sun,13,0.781,1
0.781,0.864,0.737,Jan,Sun,14,0.795,1
0.795,0.781,0.87,Jan,Sun,15,0.818,1
0.818,0.795,1.162,Jan,Sun,16,0.892,1
0.892,0.818,1.234,Jan,Sun,17,1.118,1
1.118,0.892,1.17,Jan,Sun,18,1.201,1
1.201,1.118,1.103,Jan,Sun,19,1.11,1
1.11,1.201,0.998,Jan,Sun,20,1.072,1
1.072,1.11,0.832,Jan,Sun,21,0.983,1
0.983,1.072,0.733,Jan,Sun,22,0.851,1
0.851,0.983,0.62,Jan,Sun,23,0.733,0
0.733,0.851,0.555,Jan,Mon,0,0.631,0
0.631,0.733,0.534,Jan,Mon,1,0.582,0
0.582,0.631,0.538,Jan,Mon,2,0.562,0
0.562,0.582,0.524,Jan,Mon,3,0.568,0
0.568,0.562,0.574,Jan,Mon,4,0.548,0
0.548,0.568,0.718,Jan,Mon,5,0.586,0
0.586,0.548,0.808,Jan,Mon,6,0.719,0
0.719,0.586,0.826,Jan,Mon,7,0.785,1
0.785,0.719,0.814,Jan,Mon,8,0.81,1
0.81,0.785,0.821,Jan,Mon,9,0.831,1
0.831,0.81,0.858,Jan,Mon,10,0.848,1
0.848,0.831,0.864,Jan,Mon,11,0.894,1
0.894,0.848,0.781,Jan,Mon,12,0.894,1
0.894,0.894,0.795,Jan,Mon,13,0.834,1
0.834,0.894,0.818,Jan,Mon,14,0.824,1
0.824,0.834,0.892,Jan,Mon,15,0.773,1
0.773,0.824,1.118,Jan,Mon,16,0.83,1
0.83,0.773,1.201,Jan,Mon,17,1.084,1
1.084,0.83,1.11,Jan,Mon,18,1.22,1
1.22,1.084,1.072,Jan,Mon,19,1.179,1
1.179,1.22,0.983,Jan,Mon,20,1.145,1
1.145,1.179,0.851,Jan,Mon,21,1.002,1
1.002,1.145,0.733,Jan,Mon,22,0.843,1
0.843,1.002,0.631,Jan,Mon,23,0.707,0
0.707,0.843,0.582,Jan,Tue,0,0.595,0
0.595,0.707,0.562,Jan,Tue,1,0.549,0
0.549,0.595,0.568,Jan,Tue,2,0.53,0
0.53,0.549,0.548,Jan,Tue,3,0.51,0
0.51,0.53,0.586,Jan,Tue,4,0.522,0
0.522,0.51,0.719,Jan,Tue,5,0.613,0
0.613,0.522,0.785,Jan,Tue,6,0.749,0
0.749,0.613,0.81,Jan,Tue,7,0.807,1
0.807,0.749,0.831,Jan,Tue,8,0.789,1
0.789,0.807,0.848,Jan,Tue,9,0.797,1
0.797,0.789,0.894,Jan,Tue,10,0.798,1
0.798,0.797,0.894,Jan,Tue,11,0.814,1
0.814,0.798,0.834,Jan,Tue,12,0.778,1
0.778,0.814,0.824,Jan,Tue,13,0.74,0
0.74,0.778,0.773,Jan,Tue,14,0.745,0
0.745,0.74,0.83,Jan,Tue,15,0.774,1
0.774,0.745,1.084,Jan,Tue,16,0.822,1
0.822,0.774,1.22,Jan,Tue,17,1.096,1
1.096,0.822,1.179,Jan,Tue,18,1.215,1
1.215,1.096,1.145,Jan,Tue,19,1.129,1
1.129,1.215,1.002,Jan,Tue,20,1.096,1
1.096,1.129,0.843,Jan,Tue,21,0.984,1
0.984,1.096,0.707,Jan,Tue,22,0.822,1
0.822,0.984,0.595,Jan,Tue,23,0.675,0
0.675,0.822,0.549,Jan,Wed,0,0.58,0
0.58,0.675,0.53,Jan,Wed,1,0.533,0
0.533,0.58,0.51,Jan,Wed,2,0.516,0
0.516,0.533,0.522,Jan,Wed,3,0.516,0
0.516,0.516,0.613,Jan,Wed,4,0.535,0
0.535,0.516,0.749,Jan,Wed,5,0.606,0
0.606,0.535,0.807,Jan,Wed,6,0.789,1
0.789,0.606,0.789,Jan,Wed,7,0.832,1
0.832,0.789,0.797,Jan,Wed,8,0.789,1
0.789,0.832,0.798,Jan,Wed,9,0.771,1
0.771,0.789,0.814,Jan,Wed,10,0.774,1
0.774,0.771,0.778,Jan,Wed,11,0.776,1
0.776,0.774,0.74,Jan,Wed,12,0.766,1
0.766,0.776,0.745,Jan,Wed,13,0.716,0
0.716,0.766,0.774,Jan,Wed,14,0.717,0
0.717,0.716,0.822,Jan,Wed,15,0.711,0
0.711,0.717,1.096,Jan,Wed,16,0.797,1
0.797,0.711,1.215,Jan,Wed,17,1.068,1
1.068,0.797,1.129,Jan,Wed,18,1.203,1
1.203,1.068,1.096,Jan,Wed,19,1.202,1
1.202,1.203,0.984,Jan,Wed,20,1.133,1
1.133,1.202,0.822,Jan,Wed,21,1,1
1,1.133,0.675,Jan,Wed,22,0.847,1
0.847,1,0.58,Jan,Wed,23,0.707,0
0.707,0.847,0.533,Jan,Thu,0,0.613,0
0.613,0.707,0.516,Jan,Thu,1,0.562,0
0.562,0.613,0.516,Jan,Thu,2,0.534,0
0.534,0.562,0.535,Jan,Thu,3,0.517,0
0.517,0.534,0.606,Jan,Thu,4,0.524,0
0.524,0.517,0.789,Jan,Thu,5,0.618,0
0.618,0.524,0.832,Jan,Thu,6,0.809,1
0.809,0.618,0.789,Jan,Thu,7,0.826,1
0.826,0.809,0.771,Jan,Thu,8,0.764,1
0.764,0.826,0.774,Jan,Thu,9,0.743,0
0.743,0.764,0.776,Jan,Thu,10,0.706,0
0.706,0.743,0.766,Jan,Thu,11,0.714,0
0.714,0.706,0.716,Jan,Thu,12,0.733,0
0.733,0.714,0.717,Jan,Thu,13,0.705,0
0.705,0.733,0.711,Jan,Thu,14,0.672,0
0.672,0.705,0.797,Jan,Thu,15,0.685,0
0.685,0.672,1.068,Jan,Thu,16,0.761,1
0.761,0.685,1.203,Jan,Thu,17,1.05,1
1.05,0.761,1.202,Jan,Thu,18,1.249,1
1.249,1.05,1.133,Jan,Thu,19,1.218,1
1.218,1.249,1,Jan,Thu,20,1.142,1
1.142,1.218,0.847,Jan,Thu,21,1.015,1
1.015,1.142,0.707,Jan,Thu,22,0.843,1
0.843,1.015,0.613,Jan,Thu,23,0.706,0
0.706,0.843,0.562,Jan,Fri,0,0.611,0
0.611,0.706,0.534,Jan,Fri,1,0.568,0
0.568,0.611,0.517,Jan,Fri,2,0.547,0
0.547,0.568,0.524,Jan,Fri,3,0.546,0
0.546,0.547,0.618,Jan,Fri,4,0.549,0
0.549,0.546,0.809,Jan,Fri,5,0.644,0
0.644,0.549,0.826,Jan,Fri,6,0.847,1
0.847,0.644,0.764,Jan,Fri,7,0.876,1
0.876,0.847,0.743,Jan,Fri,8,0.844,1
0.844,0.876,0.706,Jan,Fri,9,0.773,1
0.773,0.844,0.714,Jan,Fri,10,0.782,1
0.782,0.773,0.733,Jan,Fri,11,0.776,1
0.776,0.782,0.705,Jan,Fri,12,0.754,1
0.754,0.776,0.672,Jan,Fri,13,0.73,0
0.73,0.754,0.685,Jan,Fri,14,0.71,0
0.71,0.73,0.761,Jan,Fri,15,0.724,0
0.724,0.71,1.05,Jan,Fri,16,0.788,1
0.788,0.724,1.249,Jan,Fri,17,1.072,1
1.072,0.788,1.218,Jan,Fri,18,1.211,1
1.211,1.072,1.142,Jan,Fri,19,1.166,1
1.166,1.211,1.015,Jan,Fri,20,1.14,1
1.14,1.166,0.843,Jan,Fri,21,1.029,1
1.029,1.14,0.706,Jan,Fri,22,0.874,1
0.874,1.029,0.611,Jan,Fri,23,0.747,0
0.747,0.874,0.568,Jan,Sat,0,0.626,0
0.626,0.747,0.547,Jan,Sat,1,0.577,0
0.577,0.626,0.546,Jan,Sat,2,0.547,0
0.547,0.577,0.549,Jan,Sat,3,0.533,0
0.533,0.547,0.644,Jan,Sat,4,0.541,0
0.541,0.533,0.847,Jan,Sat,5,0.626,0
0.626,0.541,0.876,Jan,Sat,6,0.801,1
0.801,0.626,0.844,Jan,Sat,7,0.834,1
0.834,0.801,0.773,Jan,Sat,8,0.82,1
0.82,0.834,0.782,Jan,Sat,9,0.8,1
0.8,0.82,0.776,Jan,Sat,10,0.804,1
0.804,0.8,0.754,Jan,Sat,11,0.789,1
0.789,0.804,0.73,Jan,Sat,12,0.775,1
0.775,0.789,0.71,Jan,Sat,13,0.764,1
0.764,0.775,0.724,Jan,Sat,14,0.726,0
0.726,0.764,0.788,Jan,Sat,15,0.703,0
0.703,0.726,1.072,Jan,Sat,16,0.784,1
0.784,0.703,1.211,Jan,Sat,17,1.088,1
1.088,0.784,1.166,Jan,Sat,18,1.197,1
1.197,1.088,1.14,Jan,Sat,19,1.103,1
1.103,1.197,1.029,Jan,Sat,20,1.056,1
1.056,1.103,0.874,Jan,Sat,21,0.995,1
0.995,1.056,0.747,Jan,Sat,22,0.863,1
0.863,0.995,0.626,Jan,Sat,23,0.722,0
0.722,0.863,0.577,Jan,Sun,0,0.623,0
0.623,0.722,0.547,Jan,Sun,1,0.574,0
0.574,0.623,0.533,Jan,Sun,2,0.548,0
0.548,0.574,0.541,Jan,Sun,3,0.533,0
0.533,0.548,0.626,Jan,Sun,4,0.532,0
0.532,0.533,0.801,Jan,Sun,5,0.605,0
0.605,0.532,0.834,Jan,Sun,6,0.751,1
0.751,0.605,0.82,Jan,Sun,7,0.799,1
0.799,0.751,0.8,Jan,Sun,8,0.819,1
0.819,0.799,0.804,Jan,Sun,9,0.781,1
0.781,0.819,0.789,Jan,Sun,10,0.791,1
0.791,0.781,0.775,Jan,Sun,11,0.864,1
0.864,0.791,0.764,Jan,Sun,12,0.817,1
0.817,0.864,0.726,Jan,Sun,13,0.759,1
0.759,0.817,0.703,Jan,Sun,14,0.749,0
0.749,0.759,0.784,Jan,Sun,15,0.774,1
0.774,0.749,1.088,Jan,Sun,16,0.805,1
0.805,0.774,1.197,Jan,Sun,17,1.063,1
1.063,0.805,1.103,Jan,Sun,18,1.146,1
1.146,1.063,1.056,Jan,Sun,19,1.097,1
1.097,1.146,0.995,Jan,Sun,20,1.056,1
1.056,1.097,0.863,Jan,Sun,21,0.992,1
0.992,1.056,0.722,Jan,Sun,22,0.858,1
0.858,0.992,0.623,Jan,Sun,23,0.73,0
0.73,0.858,0.574,Jan,Mon,0,0.616,0
0.616,0.73,0.548,Jan,Mon,1,0.56,0
0.56,0.616,0.533,Jan,Mon,2,0.532,0
0.532,0.56,0.532,Jan,Mon,3,0.513,0
0.513,0.532,0.605,Jan,Mon,4,0.519,0
0.519,0.513,0.751,Jan,Mon,5,0.568,0
0.568,0.519,0.799,Jan,Mon,6,0.676,0
0.676,0.568,0.819,Jan,Mon,7,0.743,0
0.743,0.676,0.781,Jan,Mon,8,0.794,1
0.794,0.743,0.791,Jan,Mon,9,0.845,1
0.845,0.794,0.864,Jan,Mon,10,0.86,1
0.86,0.845,0.817,Jan,Mon,11,0.825,1
0.825,0.86,0.759,Jan,Mon,12,0.85,1
0.85,0.825,0.749,Jan,Mon,13,0.823,1
0.823,0.85,0.774,Jan,Mon,14,0.771,1
0.771,0.823,0.805,Jan,Mon,15,0.784,1
0.784,0.771,1.063,Jan,Mon,16,0.827,1
0.827,0.784,1.146,Jan,Mon,17,1.099,1
1.099,0.827,1.097,Jan,Mon,18,1.202,1
1.202,1.099,1.056,Jan,Mon,19,1.168,1
1.168,1.202,0.992,Jan,Mon,20,1.109,1
1.109,1.168,0.858,Jan,Mon,21,0.981,1
0.981,1.109,0.73,Jan,Mon,22,0.805,1
0.805,0.981,0.616,Jan,Mon,23,0.677,0
0.677,0.805,0.56,Jan,Tue,0,0.613,0
0.613,0.677,0.532,Jan,Tue,1,0.559,0
0.559,0.613,0.513,Jan,Tue,2,0.522,0
0.522,0.559,0.519,Jan,Tue,3,0.512,0
0.512,0.522,0.568,Jan,Tue,4,0.518,0
0.518,0.512,0.676,Jan,Tue,5,0.586,0
0.586,0.518,0.743,Jan,Tue,6,0.713,0
0.713,0.586,0.794,Jan,Tue,7,0.774,1
0.774,0.713,0.845,Jan,Tue,8,0.795,1
0.795,0.774,0.86,Jan,Tue,9,0.821,1
0.821,0.795,0.825,Jan,Tue,10,0.874,1
0.874,0.821,0.85,Jan,Tue,11,0.887,1
0.887,0.874,0.823,Jan,Tue,12,0.83,1
0.83,0.887,0.771,Jan,Tue,13,0.838,1
0.838,0.83,0.784,Jan,Tue,14,0.789,1
0.789,0.838,0.827,Jan,Tue,15,0.767,1
0.767,0.789,1.099,Jan,Tue,16,0.825,1
0.825,0.767,1.202,Jan,Tue,17,1.115,1
1.115,0.825,1.168,Jan,Tue,18,1.214,1
1.214,1.115,1.109,Jan,Tue,19,1.211,1
1.211,1.214,0.981,Jan,Tue,20,1.134,1
1.134,1.211,0.805,Jan,Tue,21,1.012,1
1.012,1.134,0.677,Jan,Tue,22,0.84,1
0.84,1.012,0.613,Jan,Tue,23,0.706,0
0.706,0.84,0.559,Jan,Wed,0,0.595,0
0.595,0.706,0.522,Jan,Wed,1,0.555,0
0.555,0.595,0.512,Jan,Wed,2,0.538,0
0.538,0.555,0.518,Jan,Wed,3,0.526,0
0.526,0.538,0.586,Jan,Wed,4,0.537,0
0.537,0.526,0.713,Jan,Wed,5,0.619,0
0.619,0.537,0.774,Jan,Wed,6,0.811,1
0.811,0.619,0.795,Jan,Wed,7,0.818,1
0.818,0.811,0.821,Jan,Wed,8,0.772,1
0.772,0.818,0.874,Jan,Wed,9,0.723,0
0.723,0.772,0.887,Jan,Wed,10,0.713,0
0.713,0.723,0.83,Jan,Wed,11,0.743,0
0.743,0.713,0.838,Jan,Wed,12,0.765,1
0.765,0.743,0.789,Jan,Wed,13,0.731,0
0.731,0.765,0.767,Jan,Wed,14,0.679,0
0.679,0.731,0.825,Jan,Wed,15,0.702,0
0.702,0.679,1.115,Jan,Wed,16,0.753,1
0.753,0.702,1.214,Jan,Wed,17,1.006,1
1.006,0.753,1.211,Jan,Wed,18,1.229,1
1.229,1.006,1.134,Jan,Wed,19,1.157,1
1.157,1.229,1.012,Jan,Wed,20,1.134,1
1.134,1.157,0.84,Jan,Wed,21,1.013,1
1.013,1.134,0.706,Jan,Wed,22,0.863,1
0.863,1.013,0.595,Jan,Wed,23,0.706,0
0.706,0.863,0.555,Jan,Thu,0,0.595,0
0.595,0.706,0.538,Jan,Thu,1,0.55,0
0.55,0.595,0.526,Jan,Thu,2,0.537,0
0.537,0.55,0.537,Jan,Thu,3,0.53,0
0.53,0.537,0.619,Jan,Thu,4,0.538,0
0.538,0.53,0.811,Jan,Thu,5,0.607,0
0.607,0.538,0.818,Jan,Thu,6,0.816,1
0.816,0.607,0.772,Jan,Thu,7,0.818,1
0.818,0.816,0.723,Jan,Thu,8,0.778,1
0.778,0.818,0.713,Jan,Thu,9,0.755,1
0.755,0.778,0.743,Jan,Thu,10,0.736,0
0.736,0.755,0.765,Jan,Thu,11,0.748,0
0.748,0.736,0.731,Jan,Thu,12,0.773,1
0.773,0.748,0.679,Jan,Thu,13,0.719,0
0.719,0.773,0.702,Jan,Thu,14,0.7,0
0.7,0.719,0.753,Jan,Thu,15,0.713,0
0.713,0.7,1.006,Jan,Thu,16,0.804,1
0.804,0.713,1.229,Jan,Thu,17,1.085,1
1.085,0.804,1.157,Jan,Thu,18,1.219,1
1.219,1.085,1.134,Jan,Thu,19,1.214,1
1.214,1.219,1.013,Jan,Thu,20,1.114,1
1.114,1.214,0.863,Jan,Thu,21,1.022,1
1.022,1.114,0.706,Jan,Thu,22,0.847,1
0.847,1.022,0.595,Jan,Thu,23,0.687,0
0.687,0.847,0.55,Jan,Fri,0,0.584,0
0.584,0.687,0.537,Jan,Fri,1,0.545,0
0.545,0.584,0.53,Jan,Fri,2,0.526,0
0.526,0.545,0.538,Jan,Fri,3,0.523,0
0.523,0.526,0.607,Jan,Fri,4,0.532,0
0.532,0.523,0.816,Jan,Fri,5,0.628,0
0.628,0.532,0.818,Jan,Fri,6,0.818,1
0.818,0.628,0.778,Jan,Fri,7,0.828,1
0.828,0.818,0.755,Jan,Fri,8,0.795,1
0.795,0.828,0.736,Jan,Fri,9,0.758,1
0.758,0.795,0.748,Jan,Fri,10,0.796,1
